#id #x0 #y0 #z0 #w0
274 -23.5539 -11.9743 94.2998 95.0
275 -2.75627 -26.301 -93.9081 -95.0
275 -23.9269 -11.1918 94.3033 95.0
276 -3.6171 -26.1909 -93.9055 -95.0
276 -24.2741 -10.3975 94.3067 95.0
277 -4.47276 -26.0538 -93.9027 -95.0
277 -24.5962 -9.59117 94.3101 95.0
278 -5.32479 -25.8877 -93.9001 -95.0
278 -24.8906 -8.77595 94.3135 95.0
279 -6.16982 -25.6948 -93.8973 -95.0
279 -25.1592 -7.95037 94.3167 95.0
280 -7.00924 -25.4732 -93.8947 -95.0
280 -25.3994 -7.11776 94.3203 95.0
281 -7.83986 -25.2253 -93.8918 -95.0
281 -25.6133 -6.27666 94.3236 95.0
282 -8.66194 -24.9502 -93.8889 -95.0
282 -25.7997 -5.429 94.3269 95.0
283 -9.47585 -24.6472 -93.8863 -95.0
283 -25.957 -4.57703 94.3305 95.0
284 -10.2783 -24.3188 -93.8834 -95.0
284 -26.0873 -3.71919 94.3338 95.0
285 -11.0696 -23.9643 -93.8805 -95.0
285 -26.1894 -2.8577 94.3373 95.0
286 -11.8492 -23.584 -93.8774 -95.0
286 -26.2632 -1.9932 94.3408 95.0
287 -12.6157 -23.1782 -93.8744 -95.0
287 -26.3087 -1.12701 94.3442 95.0
288 -13.3649 -22.7444 -93.9001 -95.0
288 -26.3247 -0.258236 94.3189 95.0
289 -14.1027 -22.2909 -93.8982 -95.0
289 -26.3139 0.61046 94.3208 95.0
290 -14.8259 -21.8117 -93.8965 -95.0
290 -26.2741 1.47673 94.3231 95.0
291 -15.5332 -21.3091 -93.8948 -95.0
291 -26.2058 2.34128 94.3252 95.0
292 -16.2236 -20.7835 -93.893 -95.0
292 -26.1092 3.20292 94.3274 95.0
293 -16.896 -20.237 -93.8911 -95.0
293 -25.985 4.06241 94.3293 95.0
294 -17.5509 -19.6672 -93.8893 -95.0
294 -25.8321 4.9158 94.3315 95.0
295 -18.186 -19.0777 -93.8874 -95.0
295 -25.652 5.76508 94.3334 95.0
296 -18.8018 -18.4677 -93.8854 -95.0
296 -25.444 6.60789 94.3354 95.0
297 -19.3975 -17.836 -93.8838 -95.0
297 -25.2083 7.4418 94.3376 95.0
298 -19.9721 -17.1868 -93.8818 -95.0
298 -24.9455 8.26899 94.3396 95.0
299 -20.5248 -16.5189 -93.8798 -95.0
299 -24.656 9.08708 94.3416 95.0
300 -21.0557 -15.8333 -93.8779 -95.0
300 -24.3397 9.89507 94.3435 95.0
301 -21.5639 -15.1304 -93.8759 -95.0
301 -23.9971 10.6922 94.3455 95.0
302 -22.0486 -14.4112 -93.8739 -95.0
302 -23.6288 11.4776 94.3475 95.0
